id|name|description
0MooT0UxvJeVAzKjxxI9|Rum Baba, whipped cream|A French dessert made of rum-soaked cake and topped with whipped cream
1GsLPKCJMC5cMDTRuyyh|Celeriac in mayonnaise dressing|Céleri rémoulade Maison is a French dish made with celery root, mayonnaise, mustard, and herbs.
2a1uTvLBv2UteoRUJlcv|Chesnut puree with whipped cream|A French dessert made with meringue, whipped cream, and chestnut paste, often garnished with marrons glacés (candied chestnuts).
3xflrLfrAdsYh7jUojAV|Curly chicory with bacon|A French salad dish that typically includes frisée lettuce, bacon lardons, a poached egg, and a mustard vinaigrette.
5ifzY4AXPdbQJLMhTfTU|Filet de Hareng pommes à l'huile|Herring fillet with potatoes in oil is a French dish, where herring fillets are marinated in oil, vinegar, and various herbs and spices, and served with boiled potatoes.
5lL7qP14l3uqWPYhrVQr|Pont l'Evêque|Pont l'Evêque is a type of soft cheese from the Normandy region of France, made from cow's milk.
6JEWLXEVV3d6SfJQxyiu|Fromage blanc de campagne|A type of soft cheese originating from the Alsace region of France, known for its light and velvety texture with a mild, tangy flavor.
92WXfizGs4nabFo7WA9a|Francfort sausages with fries|Saucisse de Francfort is a type of sausage originating from Frankfurt, Germany, while "frites" are a French term for fried potatoes or fries.
AsGkRvJKEJ6eevLmidDA|Pomme anglaise|Pommes anglaise are a type of potato dish commonly served in the United Kingdom, made with potatoes and other ingredients.
BgAvdhG764ATFOFh3M3A|Vegetarian Spaghetti|Spaghetti with vegetables is a pasta dish that originates from Italian cuisine. It is made with spaghetti pasta, vegetables, and a sauce, often tomato-based.
Bm4BCsRr2Ix3kpQmiipH|Rolled carrots|A type of vegetable soup, originating from French cuisine.
Bqgp8WmG16MlXNmJvNJF|Dame blanche meringuée|Dame blanche meringuée is a French dessert made with vanilla ice cream, chocolate sauce, whipped cream, and meringue.
C0cSQ2aREXmlWX6sIc8H|Haricots verts frais à l'anglaise|Fresh green beans cooked in the English style, often served with a sauce or as a side dish.
Djxc8R7lCIMQqOuQaBCD|Alsatian sauerkraut|Choucroute alsacienne is a traditional dish from the Alsace region in eastern France. It is made with sauerkraut, various cuts of pork, sausages, and sometimes potatoes.
EPEmIOZXsipF9suuNKkt|Coupe Mont Blanc|A French dessert made with meringue, whipped cream, and chestnut paste, often garnished with marrons glacés (candied chestnuts).
EzDbsG8smQ32iF5pBPZb|Saucisse au couteau from Aveyron|A dish from the Aveyron region of France, consisting of a sausage made from pork and seasoned with garlic, shallots, and white wine, served with mashed potatoes.
FORcly2ykzjR2rw9NfH2|Black pudding, mashed potatoes|Boudin noir, purée maison is a French dish consisting of black pudding (a type of blood sausage) and mashed potatoes.
FbCPGuYGgOJ3xytOqRTj|Crème au caramel Maison|A French dessert that consists of a rich custard base topped with a layer of caramelized sugar.
GVpEtoDt0es4XbSyj6Fy|Sorbet du jour|A type of frozen dessert made from sweetened and flavored fruit puree, typically served as a palate cleanser between courses in a formal meal.
GrOUPUhbMNVTsWCTJocX|Spaghetti aux légumes|Spaghetti with vegetables is a pasta dish that originates from Italian cuisine. It is made with spaghetti pasta, vegetables, and a sauce, often tomato-based.
HrsXFBSbB5Dq0XVt2CS3|Roast sea bass with sauce vierge|Roasted sea bream with a fresh tomato and olive oil sauce, originating from French cuisine
IYYogozqgfUqKyp0m01f|Coupe de crème chantilly|A French dessert made with whipped cream flavored with vanilla and sugar, often served as a topping or in a bowl.
Ii1gHbWN189X5FF1kU01|Rice pudding|A French dessert made with rice, milk, sugar, and sometimes flavorings like vanilla or cinnamon, cooked until the rice is soft and the mixture is creamy.
IlgnZYtl91y8kEar3Vsh|Baba au rhum|A French dessert made of rum-soaked cake and topped with whipped cream
JHEo4nzG6q9My8wUlKqG|Dame blanche with meringue|Dame blanche meringuée is a French dessert made with vanilla ice cream, chocolate sauce, whipped cream, and meringue.
JPCWSsfSPWLhHBw8Gr0M|Moelleux au chocolat Maison|A French dessert that is a rich, warm chocolate cake with a soft, molten center. It is typically made with chocolate, butter, sugar, eggs, and flour.
Jd7ccRsxMdk2OSj6CMwV|Mousse au chocolat Maison|Les Desserts
KUkLdxLsG5J9PINVEeSk|Extra whipped cream|A topping made from whipped cream, typically sweetened and flavored with vanilla, used as a garnish for desserts.
MGduqYWlqXqFy859PxrG|Homemade pork terrine|A terrine is a dish consisting of a mixture of cooked meat, vegetables, or fish, packed into a mold and then chilled until set. "Campagne" suggests a rustic or country-style preparation. "Maison" indicates that it is a house specialty or made in the style of a particular establishment.
MvBictFmOFHgr3eBApQH|Buttered fresh green beans|Fresh green beans cooked in the English style, often served with a sauce or as a side dish.
ORx55DeAs14ZYJYZ8K7K|Curly chicory with bacon|A mixed green salad, often served as a starter or side dish in French cuisine, consisting of various types of lettuce and leafy greens, sometimes with the addition of other vegetables, topped with a vinaigrette dressing.
OfQKheKOLV6F0VVi8uez|Herring fillet with steamed potatoes|Herring fillet with potatoes in oil is a French dish, where herring fillets are marinated in oil, vinegar, and various herbs and spices, and served with boiled potatoes.
P5AtyHNNeb66hvaXWw0M|Daurade rôtie au four, sauce vierge|Roasted sea bream with a fresh tomato and olive oil sauce, originating from French cuisine
PJUXBYbCFgyMf63Ntc0g|Pêche Melba chantilly|Pêche Melba is a classic French dessert made with poached peaches, vanilla ice cream, and raspberry sauce, topped with whipped cream.
QDFfjNiQaIPDUHdlkuqB|Chou chantilly|Chou chantilly is a type of French pastry, typically filled with whipped cream and often garnished with chocolate or fruit.
QetaE7uqfJDPbLFcOLMp|Pike quenelle with shellfish sauce|Salmon fillet with "sauce vierge" is a French dish, where "Darne" refers to a thick cut of fish and "sauce vierge" is a fresh tomato, olive oil, lemon juice and herb sauce.
QvMUiFHcVDRvQt57cYjJ|Soft white cheese|A type of soft cheese originating from the Alsace region of France, known for its light and velvety texture with a mild, tangy flavor.
R9jqkNz9kAO8UtshnZHG|Boudin noir, purée maison|Boudin noir, purée maison is a French dish consisting of black pudding (a type of blood sausage) and mashed potatoes.
